date,likesCount,profileName,commentsCount,text,year,month,day_of_week,quarter,cleaned_text,word_count,textblob_score,vader_score,sentiment_score,sentiment_category,topic_text,dominant_topic,topic_probability
2022-09-07 17:12:32+00:00,2,4dca617d86b3fdce80ba7e81fb16e048c9cd9798cdfd6d352303be10b372bb85,0.0,"Neat comparison I have not heard it before.
 I would say that CO2 is like a disco ball so energy and collide with countless molecules as it bounces around in our atmosphere.",2022,9,Wednesday,3,neat comparison i have not heard it before i would say that co is like a disco ball so energy and collide with countless molecules as it bounces around in our atmosphere,32,0.0,0.7702,0.3851,Positive,neat comparison heard disco ball energy collide countless molecules bounces around atmosphere,1.0,0.6948566612012003
2022-09-08 14:51:13+00:00,0,518ab97f2d115ba5b6f03b2fba2ef2b120540c9681288b3c2c2d6abb7187f432,0.0,An excellent way to visualise the invisible! Thanks,2022,9,Thursday,3,an excellent way to visualise the invisible thanks,8,0.6,0.765,0.6825,Positive,excellent visualise invisible thanks,3.0,0.6676118894774837
2022-09-07 17:19:41+00:00,1,d82e8e24eb633fd625b0aef9b3cb625cfb044ceb8483e1700531f795584253ab,3.0,Does the CO2/ghg in the troposphere affect the stratosphere? Being warmer the troposphere must be expanding?,2022,9,Wednesday,3,does the coghg in the troposphere affect the stratosphere being warmer the troposphere must be expanding,16,0.0,0.296,0.148,Positive,coghg troposphere affect stratosphere warmer troposphere must expanding,2.0,0.7042095696289059
2022-09-08 00:51:30+00:00,4,37a509fa0b5177a2233c7e2d0e2b2d6916695fa9fba3f29836974fb762ded792,0.0,excellent post! I defo feel the difference - one i can drink and the other makes me feel sick.,2022,9,Thursday,3,excellent post i defo feel the difference one i can drink and the other makes me feel sick,18,0.05357142857142857,0.1027,0.07813571428571428,Positive,excellent post defo feel difference drink makes feel sick,2.0,0.7238498354327039
2022-09-07 19:06:20+00:00,16,e54fbbd42a729af9d04d9a5cc1f9bbfe8081a31c219ecb5a4a60114bdb7b1d5f,26.0,"Yes, and carbon dioxide does not harm the Earth like you people are making it out to be. Fake climate change rhetoric, as usual.",2022,9,Wednesday,3,yes and carbon dioxide does not harm the earth like you people are making it out to be fake climate change rhetoric as usual,24,-0.375,0.6059,0.11545,Positive,carbon dioxide harm earth people making fake rhetoric usual,3.0,0.7479549500518599
2022-09-15 17:10:57+00:00,4,191055fb869d185092abf1405f0b2f4abe73bcaa9beb854fa15c6797d2780f26,1.0,Excellent example...very relatable to the Gen Pop. Complex topics...explained in understandable ways. 👍⚡,2022,9,Thursday,3,excellent examplevery relatable to the gen pop complex topicsexplained in understandable ways,12,0.35,0.5719,0.46094999999999997,Positive,excellent examplevery relatable complex topicsexplained understandable ways,3.0,0.5980695929736841
2022-09-07 17:31:25+00:00,10,a9117191b443a0494349d21508a3de7df675250b786612c638dc58b9921827a9,0.0,I am so proud of whoever created this content. Please feel very very good about yourself today,2022,9,Wednesday,3,i am so proud of whoever created this content please feel very very good about yourself today,17,0.855,0.8948,0.8749,Positive,proud whoever created content please feel good today,4.0,0.7057661124801237
2022-09-07 18:07:53+00:00,1,39c3ec5a079b6b1a62577a1d13d4e8f894c5525575b85d71cdddddc11237d293,21.0,Has the Earth ever had a concentration of over 1000 ppm?,2022,9,Wednesday,3,has the earth ever had a concentration of over ppm,10,0.0,0.0,0.0,Neutral,earth ever concentration,0.0,0.6587953495808889
2022-09-07 22:45:56+00:00,0,1492464caa9b6757f6e740a6cc8f75a44614645e9f6c64c91496b01a8045c3d5,0.0,"Yes, and not even half a cup later that poor soul is gonna know it too.",2022,9,Wednesday,3,yes and not even half a cup later that poor soul is gonna know it too,16,-0.18888888888888888,-0.1027,-0.14579444444444445,Negative,even half later poor soul know,0.0,0.6658372683275852
2022-09-07 16:30:55+00:00,4,31fd4cfea1a56eb21ad6a86ce4ed94e6a15e654b3557bfe451f0d70f45e39489,8.0,Historical co2 data would make it an interesting post,2022,9,Wednesday,3,historical co data would make it an interesting post,9,0.25,0.4019,0.32594999999999996,Positive,historical data make interesting post,2.0,0.7063443062845741
2022-09-07 16:13:39+00:00,6,7090e32a9d6c07497fee968b4b690e3f70fe975f0738009494d4182ff41872b3,28.0,why the northern hemisphere warm more than the southern hemisphere?,2022,9,Wednesday,3,why the northern hemisphere warm more than the southern hemisphere,10,0.3666666666666667,0.2263,0.2964833333333333,Positive,northern hemisphere warm southern hemisphere,3.0,0.5975597639515837
2022-09-07 17:10:34+00:00,1,f739631316ff10bf3563ed8b74394e9cec90985eb5f43216bfaab02a7fc14e13,6.0,So what are we gonna do about it?,2022,9,Wednesday,3,so what are we gonna do about it,8,0.0,0.0,0.0,Neutral,,,
2022-09-07 16:48:17+00:00,3,e4344ba4ed5d344c3f1729d4560b2c7161cf3c5f25b9a35f03851089ffe20bcd,0.0,Yes. I fall asleep on decaf and stay awake with real coffee. You can keep your brown sadness water thanks.,2022,9,Wednesday,3,yes i fall asleep on decaf and stay awake with real coffee you can keep your brown sadness water thanks,20,0.2,0.4019,0.30095,Positive,fall asleep decaf stay awake real coffee keep brown sadness water thanks,3.0,0.7460233413862943
2022-09-07 16:29:02+00:00,18,c5d2ca04f80c06207548cd1015962461056cab5bc4c5ac0a7bc06b1a7fe91571,1.0,Plus you can literally measure the heat retention effect of CO2 in a glass container in a lab,2022,9,Wednesday,3,plus you can literally measure the heat retention effect of co in a glass container in a lab,18,0.0,0.0,0.0,Neutral,plus literally measure heat retention effect glass container,4.0,0.6676984737809265
2022-09-07 22:24:21+00:00,3,7dbc924eeb31d7707805068abc66e3c826bc723beb9c9c181b45e050afb3cbfe,0.0,"The two most abundant gases (nitrogen and oxygen) comprise 99% of the atmosphere. Neither traps heat. By definition, all greenhouse gases are trace gases because they live in the remaining 1%. It's too bad the CO2 is naturally so sparse. If CO2 were naturally abundant like oxygen, our emissions wouldn't matter. We'd have a negligible impact. But because CO2 is naturally sparse, our emissions matter a lot. In fact, one-third of the CO2 in the atmosphere is due to human activity. We have to stop emitting and pull CO2 we've already emitted out of the atmosphere to stabilize the climate.",2022,9,Wednesday,3,the two most abundant gases nitrogen and oxygen comprise of the atmosphere neither traps heat by definition all greenhouse gases are trace gases because they live in the remaining its too bad the co is naturally so sparse if co were naturally abundant like oxygen our emissions wouldnt matter wed have a negligible impact but because co is naturally sparse our emissions matter a lot in fact onethird of the co in the atmosphere is due to human activity we have to stop emitting and pull co weve already emitted out of the atmosphere to stabilize the climate,98,0.1345959595959596,-0.4917,-0.1785520202020202,Negative,abundant gases nitrogen oxygen comprise atmosphere neither traps heat definition greenhouse gases trace gases live remaining naturally sparse naturally abundant oxygen emissions wouldnt matter negligible impact naturally sparse emissions matter fact onethird atmosphere human activity stop emitting pull weve already emitted atmosphere stabilize,4.0,0.8077363020454796
2022-09-07 17:30:50+00:00,14,2934a40d214c1157ae1fb62b3d87985a8293062e3c16c1e32120037532deec5f,0.0,That's an excellent way to illustrate 400 ppm.,2022,9,Wednesday,3,thats an excellent way to illustrate ppm,7,1.0,0.5719,0.7859499999999999,Positive,thats excellent illustrate,0.0,0.6617570082154288
2022-09-07 17:29:49+00:00,40,3f5005789980dd072061c992809a9c3a3f514e67c5fa1a633ecd5c704bc55ba2,3.0,"I find it interesting when people claim that CO2 can't possibly be the cause of the Earth warming because it is just a trace gas, yet the same people would acknowledge that this trace gas is responsible for all plant life on Earth.",2022,9,Wednesday,3,i find it interesting when people claim that co cant possibly be the cause of the earth warming because it is just a trace gas yet the same people would acknowledge that this trace gas is responsible for all plant life on earth,43,0.175,0.6808,0.42789999999999995,Positive,find interesting people claim cant possibly cause earth warming trace people acknowledge trace responsible plant life earth,1.0,0.6782628762465875
2022-09-07 17:15:55+00:00,1,68a91b0edcadd41dcaf0c54f6381bc42c0f2e95194227c55b807e9c303e62fa4,0.0,Love this post! Great pedagogy 🙏,2022,9,Wednesday,3,love this post great pedagogy,5,0.65,0.8519,0.75095,Positive,love post great pedagogy,1.0,0.2904208965368104
2022-09-07 16:25:32+00:00,0,9449f8bb61ec1dcf0636d574093c603ab113df0e1433a80a149879ab2379a272,0.0,Before of after I drink it?,2022,9,Wednesday,3,before of after i drink it,6,0.0,0.0,0.0,Neutral,drink,,
2022-10-08 11:58:59+00:00,0,80ca6ffc6f071ab34a5caec625f6feefeea07d1ab4411d13fe3e939286b70efc,0.0,"That’s a good analogy. 

I have thought that another one (involving the absorption of EM waves, though in the visible) might be: try putting a small amount (0.4cc) of blue die into a litre bottle of water. All of the water then has a faint blue tinge.",2022,10,Saturday,4,thats a good analogy i have thought that another one involving the absorption of em waves though in the visible might be try putting a small amount cc of blue die into a litre bottle of water all of the water then has a faint blue tinge,47,-0.010000000000000009,-0.25,-0.13,Negative,thats good analogy thought another involving absorption waves though visible might putting small amount blue litre bottle water water faint blue tinge,4.0,0.7650760122291088
2022-09-07 16:25:20+00:00,0,bf9a9cff50b3dfa3450409370c38f53fd40dad73cc3186c041553c89ed9a81f5,0.0,Thanks for sharing,2022,9,Wednesday,3,thanks for sharing,3,0.2,0.6908,0.4454,Positive,thanks sharing,3.0,0.5999633457476218
2022-09-08 21:32:25+00:00,0,c1e7b993d26f430013c1600b573fa4deec951f671abc1132623c6375250a90fb,0.0,"Not if its good coffee beans, 
Not until I get jittery🤣🤣🤣🤣",2022,9,Thursday,3,not if its good coffee beans not until i get jittery,11,0.7,-0.3412,0.17939999999999998,Positive,good coffee beans jittery,4.0,0.5999889068382178
2022-09-07 17:05:34+00:00,0,b2a23f1cfa67df6b22f01fdc3a43e7146257b24da6cd0f5d225cd4609835f41b,0.0,decaf is like mouth to mouth were as caffeinated is a defibrillator electric jolt.,2022,9,Wednesday,3,decaf is like mouth to mouth were as caffeinated is a defibrillator electric jolt,14,0.0,0.3612,0.1806,Positive,decaf mouth mouth caffeinated defibrillator electric jolt,0.0,0.2
2022-11-30 10:18:53+00:00,4,faad4f0032e82f1adfa454ce19e0a19d70cf09bd39d25e75b09ae160a4a67699,7.0,"Maybe this is what happened to Mars...we messed it up, came here and doing it all over again...meant as a joke, but I wouldn't be surprised.",2022,11,Wednesday,4,maybe this is what happened to marswe messed it up came here and doing it all over againmeant as a joke but i wouldnt be surprised,26,0.1,-0.273,-0.08650000000000001,Negative,maybe happened marswe messed came againmeant joke wouldnt surprised,0.0,0.7063657544525129
2022-11-30 10:13:48+00:00,1,bd0da9a2a0634beab3f7fdd3164cd7a853c7d4c7aba33b98103349859e9a59ac,1.0,"It is not the average temperature that is important,but the difference between night and day and the seasons.",2022,11,Wednesday,4,it is not the average temperature that is importantbut the difference between night and day and the seasons,18,-0.15,0.0,-0.075,Negative,average temperature importantbut difference night seasons,4.0,0.7025475030688473
2022-11-29 18:34:36+00:00,21,bc553b275dd49698792340c8f4378b4d9a702897830afab6c7064d85ffa65733,5.0,It's always fun watching dropouts pretend to argue science with NASA.,2022,11,Tuesday,4,its always fun watching dropouts pretend to argue science with nasa,11,0.3,0.128,0.214,Positive,always watching dropouts pretend argue science,3.0,0.6632195972433717
2022-11-29 18:37:59+00:00,19,e5e938456fd1de37139b3f67f472cc914a0dc27eca70019979b3a40c3df7d43b,1.0,"Whenever NASA posts good, peer reviewed science I make sure to read the comments to see what the nut jobs have to say",2022,11,Tuesday,4,whenever nasa posts good peer reviewed science i make sure to read the comments to see what the nut jobs have to say,23,0.6,0.6369,0.6184499999999999,Positive,whenever posts good peer reviewed science make sure read comments jobs,4.0,0.7495237761651367
2022-11-29 18:29:22+00:00,3,af82bb5df76051d3fdf495151ba14453e2966df2a55f24702a9551e3b4fb1ad8,0.0,Due to more carbon🤦‍♀️,2022,11,Tuesday,4,due to more carbon,4,0.1875,0.0,0.09375,Positive,carbon,,
